ExperimentNumber,ColonyID,Size,MinorAxisLength,Eccentricity,MeanIntensity,Radius,Type
1,1,255,15.2294116576899,0.712361833497034,0.367427912341407,9.00938516086789,3
1,2,247,13.6471675290788,0.812799369385332,0.384234341509883,8.86693531539485,3
1,3,276,15.0052005910104,0.799566106238993,0.370218812162547,9.37302131581521,3
1,4,310,18.9084114291829,0.435206336179892,0.469259962049336,9.93358267278101,3
1,5,154,13.3543505284901,0.427659592576199,0.395772854596384,7.00140860629515,3
1,6,211,14.8231591357181,0.581183732575706,0.474844345321067,8.19532708223289,3
1,7,250,17.5292659617332,0.280235058920733,0.634886274509803,8.92062058076386,3
1,8,115,11.5330626629452,0.436303853866121,0.855038363171355,6.0502592432999,3
1,9,207,12.0185471288088,0.84173396376261,0.796324713460263,8.11727456970901,3
1,10,105,11.4126078986189,0.263931551629542,0.351559290382819,5.78122288528111,3
1,11,137,11.6837608960234,0.632457832776552,0.669557750107342,6.60366976818037,3
1,12,230,15.4002749672167,0.597331797569625,0.669326513213981,8.5563586777479,3
1,13,146,13.5774457083603,0.169332637623727,0.359387590652699,6.81712867583072,3
1,14,217,15.6065210565545,0.481250666414241,0.69657540435529,8.31103154258739,3
1,15,188,13.8233033621876,0.616497492990842,0.534084272006675,7.73577782789505,3
1,16,124,11.9995345126582,0.462026305677531,0.750569259962049,6.28254931431422,3
1,17,163,11.9111399953577,0.739859890073194,0.759244556718392,7.20309040953658,3
1,18,310,16.4385155030558,0.739989146046399,0.715104364326375,9.93358267278101,3
1,19,142,11.6722171895129,0.670776397603433,0.791245512289423,6.72309481102998,3
1,20,785,31.0464433811665,0.576611456042795,0.361623579368053,15.8073799427443,3
1,21,431,15.8399123461254,0.904894124927058,0.346735817296756,11.7128801302333,3
1,22,531,20.2853445687784,0.81936642343979,0.358361951183487,13.0008672619788,3
1,1,247,13.6471675290788,0.812799369385332,0.384234341509883,8.86693531539485,3
1,2,276,15.0052005910104,0.799566106238993,0.370218812162547,9.37302131581521,3
1,3,310,18.9084114291829,0.435206336179892,0.469259962049336,9.93358267278101,3
1,4,154,13.3543505284901,0.427659592576199,0.395772854596384,7.00140860629515,3
1,5,211,14.8231591357181,0.581183732575706,0.474844345321067,8.19532708223289,3
1,6,250,17.5292659617332,0.280235058920733,0.634886274509803,8.92062058076386,3
1,7,115,11.5330626629452,0.436303853866121,0.855038363171355,6.0502592432999,3
1,8,207,12.0185471288088,0.84173396376261,0.796324713460263,8.11727456970901,3
1,9,105,11.4126078986189,0.263931551629542,0.351559290382819,5.78122288528111,3
1,10,137,11.6837608960234,0.632457832776552,0.669557750107342,6.60366976818037,3
1,11,230,15.4002749672167,0.597331797569625,0.669326513213981,8.5563586777479,3
1,12,146,13.5774457083603,0.169332637623727,0.359387590652699,6.81712867583072,3
1,13,217,15.6065210565545,0.481250666414241,0.69657540435529,8.31103154258739,3
1,14,188,13.8233033621876,0.616497492990842,0.534084272006675,7.73577782789505,3
1,15,124,11.9995345126582,0.462026305677531,0.750569259962049,6.28254931431422,3
1,16,163,11.9111399953577,0.739859890073194,0.759244556718392,7.20309040953658,3
1,17,310,16.4385155030558,0.739989146046399,0.715104364326375,9.93358267278101,3
1,18,142,11.6722171895129,0.670776397603433,0.791245512289423,6.72309481102998,3
1,19,785,31.0464433811665,0.576611456042795,0.361623579368053,15.8073799427443,3
1,20,431,15.8399123461254,0.904894124927058,0.346735817296756,11.7128801302333,3
1,21,531,20.2853445687784,0.81936642343979,0.358361951183487,13.0008672619788,3
1,1,88,9.40141929293772,0.649031982979761,0.256907308377896,5.29256742840123,3
1,2,94,10.6370753464003,0.380179749997086,0.203671255736337,5.47002095985713,3
1,3,103,10.6630778608574,0.522973827255565,0.20441652389111,5.72589890558072,3
1,4,247,13.6471675290788,0.812799369385332,0.384234341509883,8.86693531539485,3
1,5,276,15.0052005910104,0.799566106238993,0.370218812162547,9.37302131581521,3
1,6,310,18.9084114291829,0.435206336179892,0.469259962049336,9.93358267278101,3
1,7,154,13.3543505284901,0.427659592576199,0.395772854596384,7.00140860629515,3
1,8,211,14.8231591357181,0.581183732575706,0.474844345321067,8.19532708223289,3
1,9,250,17.5292659617332,0.280235058920733,0.634886274509803,8.92062058076386,3
1,10,115,11.5330626629452,0.436303853866121,0.855038363171355,6.0502592432999,3
1,11,207,12.0185471288088,0.84173396376261,0.796324713460263,8.11727456970901,3
1,12,105,11.4126078986189,0.263931551629542,0.351559290382819,5.78122288528111,3
1,13,137,11.6837608960234,0.632457832776552,0.669557750107342,6.60366976818037,3
1,14,230,15.4002749672167,0.597331797569625,0.669326513213981,8.5563586777479,3
1,15,146,13.5774457083603,0.169332637623727,0.359387590652699,6.81712867583072,3
1,16,217,15.6065210565545,0.481250666414241,0.69657540435529,8.31103154258739,3
1,17,188,13.8233033621876,0.616497492990842,0.534084272006675,7.73577782789505,3
1,18,124,11.9995345126582,0.462026305677531,0.750569259962049,6.28254931431422,3
1,19,163,11.9111399953577,0.739859890073194,0.759244556718392,7.20309040953658,3
1,20,310,16.4385155030558,0.739989146046399,0.715104364326375,9.93358267278101,3
1,21,142,11.6722171895129,0.670776397603433,0.791245512289423,6.72309481102998,3
1,22,785,31.0464433811665,0.576611456042795,0.361623579368053,15.8073799427443,3
1,23,431,15.8399123461254,0.904894124927058,0.346735817296756,11.7128801302333,3
1,24,531,20.2853445687784,0.81936642343979,0.358361951183487,13.0008672619788,3
1,1,88,9.40141929293772,0.649031982979761,0.256907308377896,5.29256742840123,3
1,2,94,10.6370753464003,0.380179749997086,0.203671255736337,5.47002095985713,3
1,3,103,10.6630778608574,0.522973827255565,0.20441652389111,5.72589890558072,3
1,4,122,11.3450795374233,0.581533371479107,0.270202507232401,6.2316776324215,3
1,5,247,13.6471675290788,0.812799369385332,0.384234341509883,8.86693531539485,3
1,6,276,15.0052005910104,0.799566106238993,0.370218812162547,9.37302131581521,3
1,7,310,18.9084114291829,0.435206336179892,0.469259962049336,9.93358267278101,3
